cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb
C229,8,1,90,8,1,2025-07-16T18:54:31.264917850,2025-07-16T18:54:31.280213356,15.30,sucesso,,21.25
C229,8,2,90,8,1,2025-07-16T18:54:31.265306711,2025-07-16T18:54:31.282912015,17.61,sucesso,,21.25
C229,8,3,90,8,1,2025-07-16T18:54:31.265508890,2025-07-16T18:54:31.282550573,17.04,sucesso,,21.25
C229,8,4,90,8,1,2025-07-16T18:54:31.265750885,2025-07-16T18:54:31.281654119,15.90,sucesso,,21.25
C229,8,5,90,8,1,2025-07-16T18:54:31.266026258,2025-07-16T18:54:31.281718492,15.69,sucesso,,21.25
C229,8,6,90,8,1,2025-07-16T18:54:31.267881870,2025-07-16T18:54:31.280794143,12.91,sucesso,,21.25
C229,8,7,90,8,1,2025-07-16T18:54:31.268221855,2025-07-16T18:54:31.281328201,13.11,sucesso,,21.25
C229,8,8,90,8,1,2025-07-16T18:54:31.268484115,2025-07-16T18:54:31.280982971,12.50,sucesso,,21.25
C229,8,9,90,8,1,2025-07-16T18:54:31.268763303,2025-07-16T18:54:31.282968759,14.21,sucesso,,21.25
C229,8,10,90,8,1,2025-07-16T18:54:31.269046306,2025-07-16T18:54:31.282202005,13.16,sucesso,,21.25
C229,8,11,90,8,1,2025-07-16T18:54:31.269348859,2025-07-16T18:54:31.281900405,12.55,sucesso,,21.25
C229,8,12,90,8,1,2025-07-16T18:54:31.269604921,2025-07-16T18:54:31.282247304,12.64,sucesso,,21.25
C229,8,13,90,8,1,2025-07-16T18:54:31.269855260,2025-07-16T18:54:31.282145977,12.29,sucesso,,21.25
C229,8,14,90,8,1,2025-07-16T18:54:31.270061731,2025-07-16T18:54:31.283384323,13.32,sucesso,,21.25
C229,8,15,90,8,1,2025-07-16T18:54:31.270287990,2025-07-16T18:54:31.283633708,13.35,sucesso,,21.25
C229,8,16,90,8,1,2025-07-16T18:54:31.270516395,2025-07-16T18:54:31.283210039,12.69,sucesso,,21.25
C229,8,17,90,8,1,2025-07-16T18:54:31.270759105,2025-07-16T18:54:31.283275604,12.52,sucesso,,21.25
C229,8,18,90,8,1,2025-07-16T18:54:31.271012306,2025-07-16T18:54:31.283682584,12.67,sucesso,,21.25
C229,8,19,90,8,1,2025-07-16T18:54:31.271221876,2025-07-16T18:54:31.283331632,12.11,sucesso,,21.25
C229,8,20,90,8,1,2025-07-16T18:54:31.271568298,2025-07-16T18:54:31.283556461,11.99,sucesso,,21.25
C229,8,21,90,8,1,2025-07-16T18:54:31.271873235,2025-07-16T18:54:31.283735752,11.86,sucesso,,21.25
C229,8,22,90,8,1,2025-07-16T18:54:31.272115468,2025-07-16T18:54:31.283845663,11.73,sucesso,,21.25
C229,8,23,90,8,1,2025-07-16T18:54:31.272358894,2025-07-16T18:54:31.284660577,12.30,sucesso,,21.25
C229,8,24,90,8,1,2025-07-16T18:54:31.272573232,2025-07-16T18:54:31.290717124,18.14,sucesso,,21.25
C229,8,25,90,8,1,2025-07-16T18:54:31.272794961,2025-07-16T18:54:31.287081241,14.29,sucesso,,21.25
C229,8,26,90,8,1,2025-07-16T18:54:31.273001194,2025-07-16T18:54:31.289321422,16.32,sucesso,,21.25
C229,8,27,90,8,1,2025-07-16T18:54:31.273253679,2025-07-16T18:54:31.288326740,15.07,sucesso,,21.25
C229,8,28,90,8,1,2025-07-16T18:54:31.273559570,2025-07-16T18:54:31.290036678,16.48,sucesso,,21.25
C229,8,29,90,8,1,2025-07-16T18:54:31.273796558,2025-07-16T18:54:31.290913343,17.12,sucesso,,21.25
C229,8,30,90,8,1,2025-07-16T18:54:31.274125814,2025-07-16T18:54:31.290328741,16.20,sucesso,,21.25
C229,8,31,90,8,1,2025-07-16T18:54:31.293318748,2025-07-16T18:54:31.311203956,17.89,sucesso,,20.88
C229,8,32,90,8,1,2025-07-16T18:54:31.293692588,2025-07-16T18:54:31.309281826,15.59,sucesso,,20.88
C229,8,33,90,8,1,2025-07-16T18:54:31.293871402,2025-07-16T18:54:31.309511661,15.64,sucesso,,20.88
C229,8,34,90,8,1,2025-07-16T18:54:31.294105291,2025-07-16T18:54:31.310446500,16.34,sucesso,,20.88
C229,8,35,90,8,1,2025-07-16T18:54:31.294315338,2025-07-16T18:54:31.310772657,16.46,sucesso,,20.88
C229,8,36,90,8,1,2025-07-16T18:54:31.295905590,2025-07-16T18:54:31.309612512,13.71,sucesso,,20.88
C229,8,37,90,8,1,2025-07-16T18:54:31.296145677,2025-07-16T18:54:31.309459924,13.31,sucesso,,20.88
C229,8,38,90,8,1,2025-07-16T18:54:31.296419858,2025-07-16T18:54:31.309406995,12.99,sucesso,,20.88
C229,8,39,90,8,1,2025-07-16T18:54:31.296884059,2025-07-16T18:54:31.310243368,13.36,sucesso,,20.88
C229,8,40,90,8,1,2025-07-16T18:54:31.297078132,2025-07-16T18:54:31.311856269,14.78,sucesso,,20.88
C229,8,41,90,8,1,2025-07-16T18:54:31.297351837,2025-07-16T18:54:31.310873270,13.52,sucesso,,20.88
C229,8,42,90,8,1,2025-07-16T18:54:31.297574996,2025-07-16T18:54:31.312225818,14.65,sucesso,,20.88
C229,8,43,90,8,1,2025-07-16T18:54:31.297777652,2025-07-16T18:54:31.309554100,11.78,sucesso,,20.88
C229,8,44,90,8,1,2025-07-16T18:54:31.298012018,2025-07-16T18:54:31.311483144,13.47,sucesso,,20.88
C229,8,45,90,8,1,2025-07-16T18:54:31.298226833,2025-07-16T18:54:31.311799764,13.57,sucesso,,20.88
C229,8,46,90,8,1,2025-07-16T18:54:31.298427343,2025-07-16T18:54:31.312753915,14.33,sucesso,,20.88
C229,8,47,90,8,1,2025-07-16T18:54:31.298575639,2025-07-16T18:54:31.312816381,14.24,sucesso,,20.88
C229,8,48,90,8,1,2025-07-16T18:54:31.298762559,2025-07-16T18:54:31.312173128,13.41,sucesso,,20.88
C229,8,49,90,8,1,2025-07-16T18:54:31.299039840,2025-07-16T18:54:31.312431097,13.39,sucesso,,20.88
C229,8,50,90,8,1,2025-07-16T18:54:31.299254179,2025-07-16T18:54:31.312109231,12.86,sucesso,,20.88
C229,8,51,90,8,1,2025-07-16T18:54:31.299614667,2025-07-16T18:54:31.311739206,12.12,sucesso,,20.88
C229,8,52,90,8,1,2025-07-16T18:54:31.299837112,2025-07-16T18:54:31.312611579,12.77,sucesso,,20.88
C229,8,53,90,8,1,2025-07-16T18:54:31.300050973,2025-07-16T18:54:31.312907934,12.86,sucesso,,20.88
C229,8,54,90,8,1,2025-07-16T18:54:31.300275802,2025-07-16T18:54:31.314461469,14.19,sucesso,,20.88
C229,8,55,90,8,1,2025-07-16T18:54:31.300537109,2025-07-16T18:54:31.314133644,13.60,sucesso,,20.88
C229,8,56,90,8,1,2025-07-16T18:54:31.300736427,2025-07-16T18:54:31.313302993,12.57,sucesso,,20.88
C229,8,57,90,8,1,2025-07-16T18:54:31.300925731,2025-07-16T18:54:31.313075780,12.15,sucesso,,20.88
C229,8,58,90,8,1,2025-07-16T18:54:31.301127433,2025-07-16T18:54:31.313446760,12.32,sucesso,,20.88
C229,8,59,90,8,1,2025-07-16T18:54:31.301333904,2025-07-16T18:54:31.314038753,12.70,sucesso,,20.88
C229,8,60,90,8,1,2025-07-16T18:54:31.301537990,2025-07-16T18:54:31.314784765,13.25,sucesso,,20.88
C229,8,61,90,8,1,2025-07-16T18:54:31.359986066,2025-07-16T18:54:31.381064653,21.08,sucesso,,20.75
C229,8,62,90,8,1,2025-07-16T18:54:31.360327720,2025-07-16T18:54:31.376065015,15.74,sucesso,,20.75
C229,8,63,90,8,1,2025-07-16T18:54:31.360528230,2025-07-16T18:54:31.374915599,14.39,sucesso,,20.75
C229,8,64,90,8,1,2025-07-16T18:54:31.360733985,2025-07-16T18:54:31.374759674,14.03,sucesso,,20.75
C229,8,65,90,8,1,2025-07-16T18:54:31.360948324,2025-07-16T18:54:31.374619960,13.67,sucesso,,20.75
