cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb
C131,5,1,20,6,1000,2025-07-16T16:52:22.584531545,2025-07-16T16:52:22.664694547,80.16,sucesso,,21.25
C131,5,2,20,6,1000,2025-07-16T16:52:22.584927082,2025-07-16T16:52:22.664850711,79.92,sucesso,,21.25
C131,5,3,20,6,1000,2025-07-16T16:52:22.585101604,2025-07-16T16:52:22.667842626,82.74,sucesso,,21.25
C131,5,4,20,6,1000,2025-07-16T16:52:22.585265874,2025-07-16T16:52:22.683827638,98.56,sucesso,,21.25
C131,5,5,20,6,1000,2025-07-16T16:52:22.585432767,2025-07-16T16:52:22.732266902,146.83,sucesso,,21.25
C131,5,6,20,6,1000,2025-07-16T16:52:22.585634708,2025-07-16T16:52:23.652692794,1067.06,sucesso,,21.25
C131,5,7,20,6,1000,2025-07-16T16:52:22.585844278,2025-07-16T16:52:23.663525342,1077.68,sucesso,,21.25
C131,5,8,20,6,1000,2025-07-16T16:52:22.614734172,2025-07-16T16:52:23.657190084,1042.46,sucesso,,21.00
C131,5,9,20,6,1000,2025-07-16T16:52:22.615250587,2025-07-16T16:52:23.644344329,1029.09,sucesso,,21.00
C131,5,10,20,6,1000,2025-07-16T16:52:22.615488052,2025-07-16T16:52:23.659240007,1043.75,sucesso,,21.00
C131,5,11,20,6,1000,2025-07-16T16:52:22.615683794,2025-07-16T16:52:23.670875072,1055.19,sucesso,,21.00
C131,5,12,20,6,1000,2025-07-16T16:52:22.615867137,2025-07-16T16:52:23.657521963,1041.65,sucesso,,21.00
C131,5,13,20,6,1000,2025-07-16T16:52:22.616054058,2025-07-16T16:52:23.650180578,1034.13,sucesso,,21.00
C131,5,14,20,6,1000,2025-07-16T16:52:22.616237401,2025-07-16T16:52:23.580063819,963.83,sucesso,,21.00
C131,5,15,20,6,1000,2025-07-16T16:52:22.681610584,2025-07-16T16:52:23.677191972,995.58,sucesso,,20.88
C131,5,16,20,6,1000,2025-07-16T16:52:22.682080268,2025-07-16T16:52:23.685293197,1003.21,sucesso,,20.88
C131,5,17,20,6,1000,2025-07-16T16:52:22.682332277,2025-07-16T16:52:23.689132213,1006.80,sucesso,,20.88
C131,5,18,20,6,1000,2025-07-16T16:52:22.682575702,2025-07-16T16:52:23.684978485,1002.40,sucesso,,20.88
C131,5,19,20,6,1000,2025-07-16T16:52:22.682824373,2025-07-16T16:52:23.689599275,1006.77,sucesso,,20.88
C131,5,20,20,6,1000,2025-07-16T16:52:22.683090686,2025-07-16T16:52:23.689488410,1006.40,sucesso,,20.88
