cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb
C172,9,1,90,6,500,2025-07-16T17:40:10.462239265,2025-07-16T17:40:10.592723131,130.48,sucesso,,21.62
C172,9,2,90,6,500,2025-07-16T17:40:10.462643146,2025-07-16T17:40:10.592843294,130.20,sucesso,,21.62
C172,9,3,90,6,500,2025-07-16T17:40:10.462860822,2025-07-16T17:40:10.592924594,130.06,sucesso,,21.62
C172,9,4,90,6,500,2025-07-16T17:40:10.463119983,2025-07-16T17:40:10.593024015,129.90,sucesso,,21.62
C172,9,5,90,6,500,2025-07-16T17:40:10.463340759,2025-07-16T17:40:10.593115091,129.77,sucesso,,21.62
C172,9,6,90,6,500,2025-07-16T17:40:10.465448141,2025-07-16T17:40:10.593210697,127.76,sucesso,,21.62
C172,9,7,90,6,500,2025-07-16T17:40:10.465831756,2025-07-16T17:40:10.593281030,127.45,sucesso,,21.62
C172,9,8,90,6,500,2025-07-16T17:40:10.466094017,2025-07-16T17:40:10.646240949,180.15,sucesso,,21.62
C172,9,9,90,6,500,2025-07-16T17:40:10.466323852,2025-07-16T17:40:10.593351125,127.03,sucesso,,21.62
C172,9,10,90,6,500,2025-07-16T17:40:10.466565370,2025-07-16T17:40:13.444123029,2977.56,sucesso,,21.62
C172,9,11,90,6,500,2025-07-16T17:40:10.466778516,2025-07-16T17:40:13.346446752,2879.67,sucesso,,21.62
C172,9,12,90,6,500,2025-07-16T17:40:10.467022895,2025-07-16T17:40:13.395288944,2928.27,sucesso,,21.62
C172,9,13,90,6,500,2025-07-16T17:40:10.467270135,2025-07-16T17:40:13.517592906,3050.32,sucesso,,21.62
C172,9,14,90,6,500,2025-07-16T17:40:10.467535257,2025-07-16T17:40:13.484186172,3016.65,sucesso,,21.62
C172,9,15,90,6,500,2025-07-16T17:40:10.467870712,2025-07-16T17:40:13.436667203,2968.80,sucesso,,21.62
C172,9,16,90,6,500,2025-07-16T17:40:10.468204736,2025-07-16T17:40:13.463525772,2995.32,sucesso,,21.62
C172,9,17,90,6,500,2025-07-16T17:40:10.468936681,2025-07-16T17:40:13.400614976,2931.68,sucesso,,21.62
C172,9,18,90,6,500,2025-07-16T17:40:10.469645977,2025-07-16T17:40:13.424521446,2954.88,sucesso,,21.62
C172,9,19,90,6,500,2025-07-16T17:40:10.470225811,2025-07-16T17:40:13.429280281,2959.05,sucesso,,21.62
C172,9,20,90,6,500,2025-07-16T17:40:10.470469713,2025-07-16T17:40:13.536090135,3065.62,sucesso,,21.62
C172,9,21,90,6,500,2025-07-16T17:40:10.470748901,2025-07-16T17:40:13.499677181,3028.93,sucesso,,21.62
C172,9,22,90,6,500,2025-07-16T17:40:10.471014499,2025-07-16T17:40:13.468526601,2997.51,sucesso,,21.62
C172,9,23,90,6,500,2025-07-16T17:40:10.471235752,2025-07-16T17:40:13.552924871,3081.69,sucesso,,21.62
C172,9,24,90,6,500,2025-07-16T17:40:10.471458673,2025-07-16T17:40:13.473885536,3002.43,sucesso,,21.62
C172,9,25,90,6,500,2025-07-16T17:40:10.471674203,2025-07-16T17:40:13.468270063,2996.60,sucesso,,21.62
C172,9,26,90,6,500,2025-07-16T17:40:10.471910953,2025-07-16T17:40:13.509707689,3037.80,sucesso,,21.62
C172,9,27,90,6,500,2025-07-16T17:40:10.472133874,2025-07-16T17:40:13.539654254,3067.52,sucesso,,21.62
C172,9,28,90,6,500,2025-07-16T17:40:10.472352981,2025-07-16T17:40:13.494944334,3022.59,sucesso,,21.62
C172,9,29,90,6,500,2025-07-16T17:40:10.472611188,2025-07-16T17:40:13.396933794,2924.32,sucesso,,21.62
C172,9,30,90,6,500,2025-07-16T17:40:10.472828865,2025-07-16T17:40:13.454240322,2981.41,sucesso,,21.62
C172,9,31,90,6,500,2025-07-16T17:40:10.500915765,2025-07-16T17:40:13.478232383,2977.32,sucesso,,21.62
C172,9,32,90,6,500,2025-07-16T17:40:10.501441478,2025-07-16T17:40:13.476427793,2974.99,sucesso,,21.62
C172,9,33,90,6,500,2025-07-16T17:40:10.501713037,2025-07-16T17:40:13.545436620,3043.72,sucesso,,21.62
C172,9,34,90,6,500,2025-07-16T17:40:10.501963376,2025-07-16T17:40:13.506943941,3004.98,sucesso,,21.62
C172,9,35,90,6,500,2025-07-16T17:40:10.502199649,2025-07-16T17:40:13.451175212,2948.98,sucesso,,21.62
C172,9,36,90,6,500,2025-07-16T17:40:10.504109859,2025-07-16T17:40:13.430120229,2926.01,sucesso,,21.62
C172,9,37,90,6,500,2025-07-16T17:40:10.504408359,2025-07-16T17:40:13.434500455,2930.09,sucesso,,21.62
C172,9,38,90,6,500,2025-07-16T17:40:10.504676103,2025-07-16T17:40:13.562443017,3057.77,sucesso,,21.62
C172,9,39,90,6,500,2025-07-16T17:40:10.504999160,2025-07-16T17:40:13.508261919,3003.26,sucesso,,21.62
C172,9,40,90,6,500,2025-07-16T17:40:10.505314588,2025-07-16T17:40:13.532214879,3026.90,sucesso,,21.62
C172,9,41,90,6,500,2025-07-16T17:40:10.505614042,2025-07-16T17:40:13.430538177,2924.92,sucesso,,21.62
C172,9,42,90,6,500,2025-07-16T17:40:10.505907297,2025-07-16T17:40:13.520764589,3014.86,sucesso,,21.62
C172,9,43,90,6,500,2025-07-16T17:40:10.506120443,2025-07-16T17:40:13.480815410,2974.69,sucesso,,21.62
C172,9,44,90,6,500,2025-07-16T17:40:10.506340503,2025-07-16T17:40:13.413522720,2907.18,sucesso,,21.62
C172,9,45,90,6,500,2025-07-16T17:40:10.506541252,2025-07-16T17:40:13.407375812,2900.83,sucesso,,21.62
C172,9,46,90,6,500,2025-07-16T17:40:10.506754398,2025-07-16T17:40:13.504315376,2997.56,sucesso,,21.62
C172,9,47,90,6,500,2025-07-16T17:40:10.506961107,2025-07-16T17:40:13.525051355,3018.09,sucesso,,21.62
C172,9,48,90,6,500,2025-07-16T17:40:10.507184743,2025-07-16T17:40:13.490936040,2983.75,sucesso,,21.62
C172,9,49,90,6,500,2025-07-16T17:40:10.507401227,2025-07-16T17:40:13.413835763,2906.43,sucesso,,21.62
C172,9,50,90,6,500,2025-07-16T17:40:10.507620334,2025-07-16T17:40:13.560011625,3052.39,sucesso,,21.62
C172,9,51,90,6,500,2025-07-16T17:40:10.507894039,2025-07-16T17:40:13.514803409,3006.91,sucesso,,21.62
C172,9,52,90,6,500,2025-07-16T17:40:10.508109092,2025-07-16T17:40:13.425686359,2917.58,sucesso,,21.62
C172,9,53,90,6,500,2025-07-16T17:40:10.508338451,2025-07-16T17:40:13.484328508,2975.99,sucesso,,21.62
C172,9,54,90,6,500,2025-07-16T17:40:10.508559465,2025-07-16T17:40:13.549077033,3040.52,sucesso,,21.62
