cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb
C146,6,1,50,6,10,2025-07-16T17:03:32.826048851,2025-07-16T17:03:32.842567443,16.52,sucesso,,21.12
C146,6,2,50,6,10,2025-07-16T17:03:32.826432943,2025-07-16T17:03:32.837727069,11.29,sucesso,,21.12
C146,6,3,50,6,10,2025-07-16T17:03:32.826620340,2025-07-16T17:03:32.842180967,15.56,sucesso,,21.12
C146,6,4,50,6,10,2025-07-16T17:03:32.826844453,2025-07-16T17:03:32.848085641,21.24,sucesso,,21.12
C146,6,5,50,6,10,2025-07-16T17:03:32.827060699,2025-07-16T17:03:32.849260091,22.20,sucesso,,21.12
C146,6,6,50,6,10,2025-07-16T17:03:32.827300071,2025-07-16T17:03:32.849120855,21.82,sucesso,,21.12
C146,6,7,50,6,10,2025-07-16T17:03:32.827617168,2025-07-16T17:03:32.845233201,17.62,sucesso,,21.12
C146,6,8,50,6,10,2025-07-16T17:03:32.829342365,2025-07-16T17:03:32.848187923,18.85,sucesso,,21.12
C146,6,9,50,6,10,2025-07-16T17:03:32.829790353,2025-07-16T17:03:32.846631050,16.84,sucesso,,21.12
C146,6,10,50,6,10,2025-07-16T17:03:32.830204010,2025-07-16T17:03:32.850133180,19.93,sucesso,,21.12
C146,6,11,50,6,10,2025-07-16T17:03:32.830521106,2025-07-16T17:03:32.850203037,19.68,sucesso,,21.12
C146,6,12,50,6,10,2025-07-16T17:03:32.830789327,2025-07-16T17:03:32.846713542,15.92,sucesso,,21.12
C146,6,13,50,6,10,2025-07-16T17:03:32.831101655,2025-07-16T17:03:32.846939563,15.84,sucesso,,21.12
C146,6,14,50,6,10,2025-07-16T17:03:32.831388711,2025-07-16T17:03:32.849738597,18.35,sucesso,,21.12
C146,6,15,50,6,10,2025-07-16T17:03:32.831685543,2025-07-16T17:03:32.850644588,18.96,sucesso,,21.12
C146,6,16,50,6,10,2025-07-16T17:03:32.831932067,2025-07-16T17:03:32.850577354,18.65,sucesso,,21.12
C146,6,17,50,6,10,2025-07-16T17:03:32.832180023,2025-07-16T17:03:32.850753307,18.57,sucesso,,21.12
C146,6,18,50,6,10,2025-07-16T17:03:32.850681781,2025-07-16T17:03:32.905171155,54.49,sucesso,,21.12
C146,6,19,50,6,10,2025-07-16T17:03:32.851076602,2025-07-16T17:03:32.868819236,17.74,sucesso,,21.12
C146,6,20,50,6,10,2025-07-16T17:03:32.851310014,2025-07-16T17:03:32.874296426,22.99,sucesso,,21.12
C146,6,21,50,6,10,2025-07-16T17:03:32.851500272,2025-07-16T17:03:32.868164539,16.66,sucesso,,21.12
C146,6,22,50,6,10,2025-07-16T17:03:32.851707458,2025-07-16T17:03:32.874972343,23.26,sucesso,,21.12
C146,6,23,50,6,10,2025-07-16T17:03:32.851952552,2025-07-16T17:03:32.873130321,21.18,sucesso,,21.12
C146,6,24,50,6,10,2025-07-16T17:03:32.852167129,2025-07-16T17:03:32.872190952,20.02,sucesso,,21.12
C146,6,25,50,6,10,2025-07-16T17:03:32.853756904,2025-07-16T17:03:32.874881505,21.12,sucesso,,21.12
C146,6,26,50,6,10,2025-07-16T17:03:32.854059934,2025-07-16T17:03:32.873263597,19.20,sucesso,,21.12
C146,6,27,50,6,10,2025-07-16T17:03:32.854302167,2025-07-16T17:03:32.875126600,20.82,sucesso,,21.12
C146,6,28,50,6,10,2025-07-16T17:03:32.854577302,2025-07-16T17:03:32.873393774,18.82,sucesso,,21.12
C146,6,29,50,6,10,2025-07-16T17:03:32.854799985,2025-07-16T17:03:32.868907213,14.11,sucesso,,21.12
C146,6,30,50,6,10,2025-07-16T17:03:32.855019092,2025-07-16T17:03:32.875272035,20.25,sucesso,,21.12
C146,6,31,50,6,10,2025-07-16T17:03:32.855267763,2025-07-16T17:03:32.874680280,19.41,sucesso,,21.12
C146,6,32,50,6,10,2025-07-16T17:03:32.855499744,2025-07-16T17:03:32.874228477,18.73,sucesso,,21.12
C146,6,33,50,6,10,2025-07-16T17:03:32.855717658,2025-07-16T17:03:32.874932289,19.21,sucesso,,21.12
C146,6,34,50,6,10,2025-07-16T17:03:32.855926752,2025-07-16T17:03:32.875426054,19.50,sucesso,,21.12
C146,6,35,50,6,10,2025-07-16T17:03:32.905762195,2025-07-16T17:03:32.922147512,16.39,sucesso,,20.62
C146,6,36,50,6,10,2025-07-16T17:03:32.906178236,2025-07-16T17:03:32.920552253,14.37,sucesso,,20.62
C146,6,37,50,6,10,2025-07-16T17:03:32.906351327,2025-07-16T17:03:32.918452978,12.10,sucesso,,20.62
C146,6,38,50,6,10,2025-07-16T17:03:32.906572103,2025-07-16T17:03:32.957584381,51.01,sucesso,,20.62
C146,6,39,50,6,10,2025-07-16T17:03:32.906803369,2025-07-16T17:03:32.926705837,19.90,sucesso,,20.62
C146,6,40,50,6,10,2025-07-16T17:03:32.907051801,2025-07-16T17:03:32.957751750,50.70,sucesso,,20.62
C146,6,41,50,6,10,2025-07-16T17:03:32.907294034,2025-07-16T17:03:32.923409223,16.12,sucesso,,20.62
C146,6,42,50,6,10,2025-07-16T17:03:32.908993005,2025-07-16T17:03:32.957807302,48.81,sucesso,,20.62
C146,6,43,50,6,10,2025-07-16T17:03:32.909302711,2025-07-16T17:03:32.925624370,16.32,sucesso,,20.62
C146,6,44,50,6,10,2025-07-16T17:03:32.909566402,2025-07-16T17:03:32.924235820,14.67,sucesso,,20.62
C146,6,45,50,6,10,2025-07-16T17:03:32.909821271,2025-07-16T17:03:32.923810720,13.99,sucesso,,20.62
C146,6,46,50,6,10,2025-07-16T17:03:32.910352706,2025-07-16T17:03:32.926646947,16.29,sucesso,,20.62
C146,6,47,50,6,10,2025-07-16T17:03:32.910625696,2025-07-16T17:03:32.923109054,12.48,sucesso,,20.62
C146,6,48,50,6,10,2025-07-16T17:03:32.910897493,2025-07-16T17:03:32.924860954,13.96,sucesso,,20.62
C146,6,49,50,6,10,2025-07-16T17:03:32.911223411,2025-07-16T17:03:32.927333116,16.11,sucesso,,20.62
C146,6,50,50,6,10,2025-07-16T17:03:32.911470413,2025-07-16T17:03:32.926853895,15.38,sucesso,,20.62
