cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb
C205,5,1,50,8,1,2025-07-16T18:18:40.809069156,2025-07-16T18:18:40.820137977,11.07,sucesso,,20.88
C205,5,2,50,8,1,2025-07-16T18:18:40.809484481,2025-07-16T18:18:40.819369316,9.88,sucesso,,20.88
C205,5,3,50,8,1,2025-07-16T18:18:40.809752941,2025-07-16T18:18:40.820329666,10.58,sucesso,,20.88
C205,5,4,50,8,1,2025-07-16T18:18:40.810015201,2025-07-16T18:18:40.819245815,9.23,sucesso,,20.88
C205,5,5,50,8,1,2025-07-16T18:18:40.810344696,2025-07-16T18:18:40.820268869,9.92,sucesso,,20.88
C205,5,6,50,8,1,2025-07-16T18:18:40.810599565,2025-07-16T18:18:40.820064306,9.46,sucesso,,20.88
C205,5,7,50,8,1,2025-07-16T18:18:40.810941219,2025-07-16T18:18:40.820382118,9.44,sucesso,,20.88
C205,5,8,50,8,1,2025-07-16T18:18:40.812712669,2025-07-16T18:18:40.822084665,9.37,sucesso,,20.88
C205,5,9,50,8,1,2025-07-16T18:18:40.812997817,2025-07-16T18:18:40.821919918,8.92,sucesso,,20.88
C205,5,10,50,8,1,2025-07-16T18:18:40.813246011,2025-07-16T18:18:40.821989774,8.74,sucesso,,20.88
C205,5,11,50,8,1,2025-07-16T18:18:40.813473224,2025-07-16T18:18:40.822821617,9.35,sucesso,,20.88
C205,5,12,50,8,1,2025-07-16T18:18:40.813707113,2025-07-16T18:18:40.822742938,9.04,sucesso,,20.88
C205,5,13,50,8,1,2025-07-16T18:18:40.813913822,2025-07-16T18:18:40.822333097,8.42,sucesso,,20.88
C205,5,14,50,8,1,2025-07-16T18:18:40.814119338,2025-07-16T18:18:40.822044849,7.93,sucesso,,20.88
C205,5,15,50,8,1,2025-07-16T18:18:40.814377307,2025-07-16T18:18:40.821663141,7.29,sucesso,,20.88
C205,5,16,50,8,1,2025-07-16T18:18:40.814578294,2025-07-16T18:18:40.822268486,7.69,sucesso,,20.88
C205,5,17,50,8,1,2025-07-16T18:18:40.814801216,2025-07-16T18:18:40.822609186,7.81,sucesso,,20.88
C205,5,18,50,8,1,2025-07-16T18:18:40.844269037,2025-07-16T18:18:40.854424238,10.16,sucesso,,21.00
C205,5,19,50,8,1,2025-07-16T18:18:40.844780206,2025-07-16T18:18:40.855635643,10.86,sucesso,,21.00
C205,5,20,50,8,1,2025-07-16T18:18:40.845018148,2025-07-16T18:18:40.857887268,12.87,sucesso,,21.00
C205,5,21,50,8,1,2025-07-16T18:18:40.845268964,2025-07-16T18:18:40.855290651,10.02,sucesso,,21.00
C205,5,22,50,8,1,2025-07-16T18:18:40.845520496,2025-07-16T18:18:40.857756853,12.24,sucesso,,21.00
C205,5,23,50,8,1,2025-07-16T18:18:40.845838308,2025-07-16T18:18:40.859106302,13.27,sucesso,,21.00
C205,5,24,50,8,1,2025-07-16T18:18:40.846117973,2025-07-16T18:18:40.858918428,12.80,sucesso,,21.00
C205,5,25,50,8,1,2025-07-16T18:18:40.847813129,2025-07-16T18:18:40.859019517,11.21,sucesso,,21.00
C205,5,26,50,8,1,2025-07-16T18:18:40.848080873,2025-07-16T18:18:40.858972311,10.89,sucesso,,21.00
C205,5,27,50,8,1,2025-07-16T18:18:40.848309993,2025-07-16T18:18:40.858834028,10.52,sucesso,,21.00
C205,5,28,50,8,1,2025-07-16T18:18:40.848528623,2025-07-16T18:18:40.859062671,10.53,sucesso,,21.00
C205,5,29,50,8,1,2025-07-16T18:18:40.848765134,2025-07-16T18:18:40.859439134,10.67,sucesso,,21.00
C205,5,30,50,8,1,2025-07-16T18:18:40.848993301,2025-07-16T18:18:40.859502077,10.51,sucesso,,21.00
C205,5,31,50,8,1,2025-07-16T18:18:40.849218606,2025-07-16T18:18:40.859789848,10.57,sucesso,,21.00
C205,5,32,50,8,1,2025-07-16T18:18:40.849430084,2025-07-16T18:18:40.860488414,11.06,sucesso,,21.00
C205,5,33,50,8,1,2025-07-16T18:18:40.849654197,2025-07-16T18:18:40.859606981,9.95,sucesso,,21.00
C205,5,34,50,8,1,2025-07-16T18:18:40.849886655,2025-07-16T18:18:40.860177755,10.29,sucesso,,21.00
C205,5,35,50,8,1,2025-07-16T18:18:40.874454498,2025-07-16T18:18:40.885413169,10.96,sucesso,,20.75
C205,5,36,50,8,1,2025-07-16T18:18:40.874892473,2025-07-16T18:18:40.885762929,10.87,sucesso,,20.75
C205,5,37,50,8,1,2025-07-16T18:18:40.875100851,2025-07-16T18:18:40.885982513,10.88,sucesso,,20.75
C205,5,38,50,8,1,2025-07-16T18:18:40.875302076,2025-07-16T18:18:40.885517597,10.22,sucesso,,20.75
C205,5,39,50,8,1,2025-07-16T18:18:40.875518798,2025-07-16T18:18:40.886024236,10.51,sucesso,,20.75
C205,5,40,50,8,1,2025-07-16T18:18:40.875781059,2025-07-16T18:18:40.885820865,10.04,sucesso,,20.75
C205,5,41,50,8,1,2025-07-16T18:18:40.876019477,2025-07-16T18:18:40.885897159,9.88,sucesso,,20.75
C205,5,42,50,8,1,2025-07-16T18:18:40.877579212,2025-07-16T18:18:40.885938882,8.36,sucesso,,20.75
C205,5,43,50,8,1,2025-07-16T18:18:40.877840042,2025-07-16T18:18:40.886186599,8.35,sucesso,,20.75
C205,5,44,50,8,1,2025-07-16T18:18:40.878032445,2025-07-16T18:18:40.886549472,8.52,sucesso,,20.75
C205,5,45,50,8,1,2025-07-16T18:18:40.878277063,2025-07-16T18:18:40.884987592,6.71,sucesso,,20.75
C205,5,46,50,8,1,2025-07-16T18:18:40.878486871,2025-07-16T18:18:40.886393785,7.91,sucesso,,20.75
C205,5,47,50,8,1,2025-07-16T18:18:40.878704547,2025-07-16T18:18:40.886250019,7.55,sucesso,,20.75
C205,5,48,50,8,1,2025-07-16T18:18:40.878957748,2025-07-16T18:18:40.886683702,7.73,sucesso,,20.75
C205,5,49,50,8,1,2025-07-16T18:18:40.879184484,2025-07-16T18:18:40.886980295,7.80,sucesso,,20.75
C205,5,50,50,8,1,2025-07-16T18:18:40.879393815,2025-07-16T18:18:40.886926412,7.53,sucesso,,20.75
