cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb
C257,3,1,30,10,1000,2025-07-16T19:29:09.676090478,2025-07-16T19:29:09.782948970,106.86,sucesso,,21.25
C257,3,2,30,10,1000,2025-07-16T19:29:09.676638364,2025-07-16T19:29:09.783133506,106.50,sucesso,,21.25
C257,3,3,30,10,1000,2025-07-16T19:29:09.676827430,2025-07-16T19:29:09.783762693,106.94,sucesso,,21.25
C257,3,4,30,10,1000,2025-07-16T19:29:09.676994562,2025-07-16T19:29:09.783871889,106.88,sucesso,,21.25
C257,3,5,30,10,1000,2025-07-16T19:29:09.677211999,2025-07-16T19:29:09.791393280,114.18,sucesso,,21.25
C257,3,6,30,10,1000,2025-07-16T19:29:09.677472114,2025-07-16T19:29:11.019768476,1342.30,sucesso,,21.25
C257,3,7,30,10,1000,2025-07-16T19:29:09.677703380,2025-07-16T19:29:11.631496191,1953.79,sucesso,,21.25
C257,3,8,30,10,1000,2025-07-16T19:29:09.677953004,2025-07-16T19:29:11.639050245,1961.10,sucesso,,21.25
C257,3,9,30,10,1000,2025-07-16T19:29:09.679588317,2025-07-16T19:29:11.577857971,1898.27,sucesso,,21.25
C257,3,10,30,10,1000,2025-07-16T19:29:09.680015087,2025-07-16T19:29:11.584573030,1904.56,sucesso,,21.25
C257,3,11,30,10,1000,2025-07-16T19:29:09.725997209,2025-07-16T19:29:11.619842767,1893.85,sucesso,,21.12
C257,3,12,30,10,1000,2025-07-16T19:29:09.726546287,2025-07-16T19:29:11.643046379,1916.50,sucesso,,21.12
C257,3,13,30,10,1000,2025-07-16T19:29:09.726843595,2025-07-16T19:29:11.630852699,1904.01,sucesso,,21.12
C257,3,14,30,10,1000,2025-07-16T19:29:09.727068424,2025-07-16T19:29:11.610416173,1883.35,sucesso,,21.12
C257,3,15,30,10,1000,2025-07-16T19:29:09.727271795,2025-07-16T19:29:11.602923870,1875.65,sucesso,,21.12
C257,3,16,30,10,1000,2025-07-16T19:29:09.727521419,2025-07-16T19:29:11.604755878,1877.23,sucesso,,21.12
C257,3,17,30,10,1000,2025-07-16T19:29:09.727766275,2025-07-16T19:29:11.580657958,1852.89,sucesso,,21.12
C257,3,18,30,10,1000,2025-07-16T19:29:09.727998733,2025-07-16T19:29:11.635665893,1907.67,sucesso,,21.12
C257,3,19,30,10,1000,2025-07-16T19:29:09.729887485,2025-07-16T19:29:11.627481460,1897.59,sucesso,,21.12
C257,3,20,30,10,1000,2025-07-16T19:29:09.730155467,2025-07-16T19:29:11.536434412,1806.28,sucesso,,21.12
C257,3,21,30,10,1000,2025-07-16T19:29:09.783279418,2025-07-16T19:29:11.655745029,1872.47,sucesso,,20.88
C257,3,22,30,10,1000,2025-07-16T19:29:09.783788442,2025-07-16T19:29:11.612664222,1828.88,sucesso,,20.88
C257,3,23,30,10,1000,2025-07-16T19:29:09.784079074,2025-07-16T19:29:11.626380205,1842.30,sucesso,,20.88
C257,3,24,30,10,1000,2025-07-16T19:29:09.784423112,2025-07-16T19:29:11.627491474,1843.07,sucesso,,20.88
C257,3,25,30,10,1000,2025-07-16T19:29:09.784659862,2025-07-16T19:29:11.654218435,1869.56,sucesso,,20.88
C257,3,26,30,10,1000,2025-07-16T19:29:09.784888744,2025-07-16T19:29:11.655301570,1870.41,sucesso,,20.88
C257,3,27,30,10,1000,2025-07-16T19:29:09.785098314,2025-07-16T19:29:11.655136346,1870.04,sucesso,,20.88
C257,3,28,30,10,1000,2025-07-16T19:29:09.785342693,2025-07-16T19:29:11.345015048,1559.67,sucesso,,20.88
C257,3,29,30,10,1000,2025-07-16T19:29:09.787162780,2025-07-16T19:29:11.655589342,1868.43,sucesso,,20.88
C257,3,30,30,10,1000,2025-07-16T19:29:09.787418127,2025-07-16T19:29:11.649263381,1861.85,sucesso,,20.88
