num_clientes,num_servidores,num_mensagens,execucoes,tempo_min_ms,tempo_max_ms,tempo_media_ms,tempo_mediana_ms,tempo_std_ms,throughput_min,throughput_max,throughput_media,throughput_mediana,throughput_std
60,4,100,550,118.78,410.83,235.84172727272727,227.985,66.02276251317299,243.40968283718328,841.8925745074929,457.9994760208117,438.6253838128427,128.0443404353568
60,4,500,589,1515.65,3631.19,2896.0453820033954,2940.66,359.6748272356644,137.69590685147293,329.8914657077821,175.92992132487552,170.02985724293188,27.240633165009882
60,4,1000,584,4699.1,6658.0,6075.887363013699,6157.005,364.0720962560571,150.19525382997895,212.80670766742566,165.23910158168727,162.41663271956878,10.982065526911253
60,4,10000,585,60560.12,65928.4,65141.09921367521,65274.32,566.8892190883108,151.67970100897338,165.12516817998377,153.52493026354404,153.19960437734164,1.3836385775300033
60,6,1,600,2.77,8.83,4.0411,3.94,0.5353875758993465,113.25028312570782,361.01083032490976,251.295815473762,253.80710659898477,30.018357040356406
60,6,10,596,11.04,21.88,13.346879194630873,12.925,1.376166515294756,457.0383912248629,905.7971014492754,756.2975415371162,773.6945064996326,69.4322832639421
60,6,100,561,117.14,295.88,198.3424064171123,193.59,38.560707820159024,337.97485467081253,853.6793580331228,523.7516055032415,516.5556072111162,103.68772908208216
60,6,500,587,1623.64,3469.77,2949.76136286201,3051.91,355.55581189532285,144.10177043435155,307.9500381858047,172.7948294938383,163.83182990324093,27.955990153967967
60,6,1000,593,4740.33,6660.34,6239.475109612142,6360.41,350.2981490855084,150.14248521847233,210.95577734039614,160.83701388401525,157.2225689853327,10.1539618536428
60,6,10000,578,61240.22,69249.68,66709.43467128028,66556.68,1063.481820763379,144.4049994166038,163.29137942352264,149.9421791968313,150.24787895756117,2.411573766038143
60,8,1,600,3.04,8.82,4.18895,4.11,0.6641492461804074,113.37868480725623,328.9473684210526,243.9215607954794,243.30900243309003,33.806214681650424
60,8,10,592,12.08,39.59,15.820912162162161,15.015,3.535551064879842,252.5890376357666,827.8145695364238,653.7729872126513,666.0007398529698,103.51471491798694
60,8,100,576,114.34,362.88,184.95885416666667,172.0,47.32795170139947,275.57319223985894,874.5845723281442,571.2191925918038,581.3976206586312,124.39281968451266
60,8,500,589,1494.26,3418.92,2942.830101867572,3035.29,349.7065186977755,146.24501304505517,334.6137887650074,173.16170287641137,164.72890563998828,28.214228992782434
60,8,1000,588,4659.85,6822.24,6203.389523809524,6274.01,372.22350796423893,146.57942259433852,214.5991823771151,161.84533625373734,159.38769629460825,10.795293964950615
60,8,10000,585,61606.34,66704.39,66161.12335042734,66249.42,437.3583479195515,149.91517050077212,162.320955927588,151.1529603756305,150.9447177046984,1.0302966629962962
60,10,1,600,2.9,9.16,4.0922833333333335,4.005,0.6013293174033982,109.1703056768559,344.82758620689657,248.48554677772967,249.68827930174564,29.554884209768066
60,10,10,599,11.09,31.7,13.718480801335561,13.38,1.4304686870968466,315.45741324921136,901.7132551848513,735.1373479183025,747.3841554559043,62.12129153774308
60,10,100,584,110.58,271.16,155.862551369863,151.85500000000002,19.630830335324678,368.78595663077147,904.3226623259179,650.5705518098948,658.5229337750691,73.30621441819466
60,10,500,589,1466.54,3328.1,2844.6060271646857,2953.25,351.86169346114696,150.23587031639673,340.9385356008019,179.3835708572163,169.30500296283753,30.016410910574308
60,10,1000,590,4762.08,6780.21,6252.0013728813565,6334.805,365.97815355487637,147.4880571545719,209.99227228437994,160.5564993173268,157.85805842372537,10.45042768623312
60,10,10000,586,61725.6,70679.29,66798.50259385665,66615.035,1315.2591917949658,141.48416035305394,162.00733569216015,149.7601832116421,150.11626129549015,2.861892422588355
70,2,1,700,2.66,19.49,4.564414285714286,4.35,1.0803095645047458,51.30836326321191,375.9398496240602,227.2570462203158,229.8850574712644,39.33306131183344
70,2,10,688,12.71,50.64,17.217848837209303,16.63,3.2716669131358884,197.47235387045814,786.7820613690008,595.9814643566472,601.3229104028864,86.38411924772025
70,2,100,629,140.32,592.44,287.63815580286166,272.03,92.29093413410179,168.79346431706162,712.6567844925884,381.98401577985953,367.6065139874279,113.40520146477363
70,2,500,684,1785.37,5911.79,4554.307207602339,4484.8150000000005,792.5016154181413,84.57675255717811,280.0539944101223,114.07277004581444,111.48732264754548,26.407912739205088
70,2,1000,684,6584.85,11058.26,9191.806754385965,9145.58,858.4836707682275,90.43014000394275,151.86374784543307,109.78429433797102,109.342436880376,10.766789973947345
70,2,10000,679,86231.87,99022.6,95998.3907658321,96032.13,1425.051734125855,100.9870474013003,115.96640546006947,104.19172779122,104.13181504981718,1.5744739156614551
70,4,1,700,2.92,10.98,4.019471428571428,3.79,0.6318326144537904,91.07468123861567,342.4657534246576,253.60692161285115,263.85224274406335,32.58972310458193
70,4,10,694,11.11,22.09,13.1407204610951,12.77,1.2883469501749838,452.6935264825713,900.0900090009001,767.3237457277053,783.0853563038371,65.5469636618188
70,4,100,665,118.69,308.41,176.97912781954886,169.99,31.500152612322395,324.24370156609706,842.5309630128907,580.1252106891004,588.2698982293076,87.95329465040525
70,4,500,678,1488.17,3687.85,3126.5509587020647,3251.7349999999997,411.90111623985786,135.58035169543228,335.98312020804076,163.88392911750583,153.76406816232912,30.983860697627232
70,4,1000,685,5013.9,8600.23,6972.325693430656,6999.15,595.9568701953484,116.27596006153324,199.44554139492215,144.49813003192003,142.87449190258818,12.771263698025818
70,4,10000,667,69354.91,77404.33,74428.35065967016,74333.37,990.1880873674579,129.19173901511712,144.18589830193707,134.38090571253028,134.5290816224261,1.7700543538632043
70,6,1,700,3.13,31.2,4.597871428571429,4.32,1.4241425040556013,32.05128205128205,319.4888178913738,226.11824143732233,231.48148148148147,36.0765472728772
70,6,10,692,11.13,54.41,14.702471098265896,14.0,3.3749281762035372,183.7897445322551,898.472596585804,699.8695018459524,714.2857142857142,96.72719811987002
70,6,100,661,116.99,348.07,187.16791225416037,179.12,40.501764209964506,287.298531904502,854.7739123001966,557.3597607642266,558.2849486377847,110.3258483082341
70,6,500,687,1516.61,3831.22,3279.0246142649203,3415.96,454.0586634558245,130.50673153721272,329.6826474835324,156.792951191381,146.37173737397393,32.18690098427837
70,6,1000,691,5084.05,7678.19,7073.776410998553,7209.63,480.10411109526905,130.2390276875149,196.69358090498716,142.12312437417415,138.70337312733108,11.222815563054912
