num_clientes,num_servidores,num_mensagens,execucoes,tempo_min_ms,tempo_max_ms,tempo_media_ms,tempo_mediana_ms,tempo_std_ms,throughput_min,throughput_max,throughput_media,throughput_mediana,throughput_std
80,2,1000,800,8865.05,11894.04,10676.989099999999,10743.064999999999,501.96887621898964,84.07572195822445,112.80252226439784,93.8715895114429,93.08330539151454,4.529262871442155
80,2,10000,800,100245.14,106160.82,103321.9084,103236.055,1090.4247832123897,94.19671023641303,99.75545946666341,96.79564248981646,96.86538299983849,1.0197615555729638
80,4,1,800,7.16,183.59,27.9703125,21.585,21.452987101959472,5.446919766871834,139.66480446927372,50.23567776908175,46.328471330005954,25.234869158582274
80,4,10,800,15.19,211.65,70.7563125,66.1,35.229256281534404,47.247814788566025,658.3278472679395,183.76123328253254,151.28593040847204,103.04525372186055
80,4,100,800,182.44,1350.58,686.758525,679.97,259.91382435374044,74.04226332390529,548.1254110940583,174.96262198407246,147.06531173673574,87.99507082020322
80,4,500,800,3660.77,6573.38,5425.6179625,5499.08,518.9760945258797,76.06436871137831,136.58328712265453,93.07008060507724,90.92430587411454,9.662865292263271
80,4,1000,800,8783.22,14526.02,11089.055287500001,10918.599999999999,1054.6172600305551,68.8419814925217,113.85346148678958,90.92866396338388,91.58683432380832,7.963470271806805
80,4,10000,800,99839.06,104691.66,102106.3292125,102123.20999999999,732.3212984050367,95.51859240745634,100.16119943436968,97.94215387443481,97.92093296946985,0.702524219462996
80,6,1,800,7.38,123.06,23.0614375,19.9,13.236358753445222,8.126117341134405,135.50135501355012,54.49024418939582,50.25145931247923,24.065631567199528
80,6,10,800,15.47,228.44,51.6332625,39.515,32.652897300373326,43.77517072316582,646.4124111182934,261.2191658906391,253.0691397826737,125.11896810851884
80,6,100,800,142.4,979.28,570.0866375,575.095,191.44703509424355,102.11584020913325,702.2471910112359,205.37783821170694,173.88443338834205,98.91408272158189
80,6,500,800,2373.73,7289.04,5691.1749875000005,5797.02,716.2274242559561,68.59613886053582,210.63895219759618,89.56560658051083,86.25121183183613,14.226817181299639
80,6,1000,800,8416.69,12286.12,10879.29975,10937.36,619.2225933710064,81.39266098654416,118.81155180955933,92.22942138647183,91.4297427225467,5.506638937700468
80,6,10000,800,100618.98,109667.43,103627.6365375,103242.195,1771.4523155821607,91.18477564396285,99.38482779292734,96.52668800517642,96.85962218720412,1.6013729741219467
80,8,1,800,7.15,156.94,18.5117625,14.870000000000001,12.023811878256348,6.371861858034918,139.86013986013987,67.27395520930637,67.24952604234504,26.521575097333372
80,8,10,800,15.81,148.24,44.6016125,40.06,19.606145119142756,67.45817593092282,632.5110689437065,262.4108521630344,249.62581053612843,98.68726799677188
80,8,100,800,124.09,1054.51,451.605225,430.65,173.6841519785558,94.8307744829352,805.8667096462244,260.1533316184616,232.20719499307518,117.06060659293043
80,8,500,800,2873.07,7284.62,5715.6033875,5883.17,776.4986694686021,68.6377601027919,174.02987048697037,89.43422695680184,84.98819514190504,14.795602300548454
80,8,1000,800,8660.53,12709.09,11240.1404,11309.795,692.3432647262887,78.68383967695563,115.46637445976168,89.32326550077478,88.41893249092749,5.8234398145366555
80,8,10000,800,100470.67,109687.37,104196.384475,103885.355,1576.8803313891285,91.16819921929024,99.53153492457052,95.99406191209938,96.25995891289223,1.4189368008592365
80,10,1,800,5.89,98.75,13.3099375,10.485,8.863237153384775,10.126582278481012,169.77928692699493,89.2271057673519,95.37436599014691,26.20169721055551
80,10,10,800,15.31,179.5,34.223375000000004,26.855,20.299365967505686,55.71030640668524,653.1678641410842,347.9476028755746,372.37025208862894,111.55194642097774
80,10,100,800,115.05,739.6,336.19735000000003,328.19500000000005,104.96461688695521,135.2082206598161,869.187309865276,330.7772360806059,304.6969062212785,118.61364075316501
80,10,500,800,2625.14,6099.45,5067.1993625000005,5194.7,600.2829621733089,81.9746042675979,190.4660322878018,100.3156970366829,96.25195010390613,14.153915489260404
80,10,1000,800,8038.08,11415.4,10373.3827625,10464.27,570.1769774682132,87.60096010652276,124.40781878259483,96.71028271544947,95.56328762537886,5.663564926786834
80,10,10000,640,103231.35,128466.96,120901.05743750001,123046.53,6507.201843362993,77.84102620627125,96.8697977891406,82.97563677354022,81.27006913907047,4.907034331511392
90,2,1,900,6.47,89.32,15.060444444444444,12.23,9.130290967456297,11.195700850873266,154.5595054095827,77.81918304114413,81.76614881439083,23.47758702745138
90,2,10,900,15.0,248.19,54.246633333333335,40.555,36.84403721661561,40.291711994842665,666.6666666666667,246.13152578841442,246.57872400450418,112.69590230840838
90,2,100,900,161.56,1700.19,712.9115222222222,684.7349999999999,280.99795543260115,58.81695575200418,618.9650903689031,167.25491446531495,146.0419323211969,80.92868405315629
90,2,500,900,3731.24,9113.07,6392.488077777777,6318.07,940.4423745863742,54.86625253619252,134.0037092226713,79.94569740457257,79.13809308624435,12.106301720296239
90,2,1000,900,9774.89,12911.01,11715.581655555556,11774.075,572.7601754867545,77.45327437590088,102.30294151647743,85.56654482341878,84.93236206743053,4.313139153901439
90,2,10000,900,112847.54,117702.03,115434.94924444443,115439.11,801.8906771799121,84.9603018741478,88.61513507516425,86.63305479521367,86.62575447842187,0.602128308851373
90,4,1,900,7.32,96.29,16.991500000000002,13.5,10.563707018791536,10.385294423096894,136.6120218579235,71.38181101447601,74.07411471830711,24.66206204342979
90,4,10,900,14.74,185.86,57.69184444444445,52.975,28.60242099747541,53.80393844829441,678.42605156038,216.34794018986042,188.76830206235115,101.81112869593574
90,4,100,900,144.16,1101.98,563.757388888889,566.125,172.26647684137905,90.74574856167989,693.6736958934516,199.2268052698217,176.6394364210114,80.47023978767753
90,4,500,900,3608.57,8097.06,6229.736544444444,6319.9349999999995,752.0630982663083,61.75080831808088,138.559041393128,81.53407677691972,79.11474051212349,10.775677096974878
90,4,1000,900,9324.69,13185.7,12047.130033333333,12158.665,586.0858529158477,75.83973547100267,107.24217105340767,83.21513746002164,82.24587222060984,4.291813527042844
90,4,10000,900,112395.49,121021.95,115542.69535555555,115221.26,1500.4379098632567,82.62963867298453,88.97154147377265,86.56236849285786,86.78953872247575,1.100661345274258
90,6,1,900,7.13,121.76,21.91642222222222,18.450000000000003,12.393869249419124,8.21287779237845,140.25245441795232,56.94934066349828,54.2005579279112,24.69314240099935
