Linguagem,Tempo_Medio_s,Tempo_StdDev_s,Tempo_Min_s,Tempo_Max_s,Throughput_Medio_req_s,Throughput_StdDev_req_s,Throughput_Min_req_s,Throughput_Max_req_s,Total_Sucessos,Total_Erros,Num_Testes,Taxa_Sucesso_Percent
Go,0.805,0.531,0.113,2.135,1590.4,1818.53,80.71,6406.89,4150,0,80,100.0
Python,0.812,0.547,0.137,2.74,1549.03,1736.53,59.32,6439.41,4100,0,70,100.0
