cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb,num_goroutine
C110,2,1,90,4,10,2025-07-16T11:20:52.738222706-03:00,2025-07-16T11:20:52.754140681-03:00,15.92,sucesso,,0.31,31
C110,2,2,90,4,10,2025-07-16T11:20:52.737882366-03:00,2025-07-16T11:20:52.754057226-03:00,16.17,sucesso,,0.26,31
C110,2,3,90,4,10,2025-07-16T11:20:52.738249422-03:00,2025-07-16T11:20:52.746378025-03:00,8.13,sucesso,,0.32,31
C110,2,4,90,4,10,2025-07-16T11:20:52.737899956-03:00,2025-07-16T11:20:52.754667475-03:00,16.77,sucesso,,0.34,31
C110,2,5,90,4,10,2025-07-16T11:20:52.736473605-03:00,2025-07-16T11:20:52.75413077-03:00,17.66,sucesso,,0.21,31
C110,2,6,90,4,10,2025-07-16T11:20:52.73823777-03:00,2025-07-16T11:20:52.754085542-03:00,15.85,sucesso,,0.31,31
C110,2,7,90,4,10,2025-07-16T11:20:52.738210102-03:00,2025-07-16T11:20:52.754080316-03:00,15.87,sucesso,,0.30,31
C110,2,8,90,4,10,2025-07-16T11:20:52.737956615-03:00,2025-07-16T11:20:52.757713348-03:00,19.76,sucesso,,0.29,31
C110,2,9,90,4,10,2025-07-16T11:20:52.737950309-03:00,2025-07-16T11:20:52.757029986-03:00,19.08,sucesso,,0.29,31
C110,2,10,90,4,10,2025-07-16T11:20:52.737945926-03:00,2025-07-16T11:20:52.754164188-03:00,16.22,sucesso,,0.28,31
C110,2,11,90,4,10,2025-07-16T11:20:52.737941143-03:00,2025-07-16T11:20:52.753879528-03:00,15.94,sucesso,,0.28,31
C110,2,12,90,4,10,2025-07-16T11:20:52.737930154-03:00,2025-07-16T11:20:52.754142204-03:00,16.21,sucesso,,0.28,31
C110,2,13,90,4,10,2025-07-16T11:20:52.738013032-03:00,2025-07-16T11:20:52.754084403-03:00,16.07,sucesso,,0.30,31
C110,2,14,90,4,10,2025-07-16T11:20:52.737914502-03:00,2025-07-16T11:20:52.756857797-03:00,18.94,sucesso,,0.27,31
C110,2,15,90,4,10,2025-07-16T11:20:52.7379162-03:00,2025-07-16T11:20:52.75700955-03:00,19.09,sucesso,,0.27,31
C110,2,16,90,4,10,2025-07-16T11:20:52.738239695-03:00,2025-07-16T11:20:52.757745368-03:00,19.51,sucesso,,0.32,31
C110,2,17,90,4,10,2025-07-16T11:20:52.738263082-03:00,2025-07-16T11:20:52.757771593-03:00,19.51,sucesso,,0.32,31
C110,2,18,90,4,10,2025-07-16T11:20:52.738223295-03:00,2025-07-16T11:20:52.754021594-03:00,15.80,sucesso,,0.30,31
C110,2,19,90,4,10,2025-07-16T11:20:52.73827351-03:00,2025-07-16T11:20:52.75605193-03:00,17.78,sucesso,,0.33,31
C110,2,20,90,4,10,2025-07-16T11:20:52.739583434-03:00,2025-07-16T11:20:52.757703365-03:00,18.12,sucesso,,0.37,31
C110,2,21,90,4,10,2025-07-16T11:20:52.7391144-03:00,2025-07-16T11:20:52.756920023-03:00,17.81,sucesso,,0.34,31
C110,2,22,90,4,10,2025-07-16T11:20:52.739573047-03:00,2025-07-16T11:20:52.757735731-03:00,18.16,sucesso,,0.36,31
C110,2,23,90,4,10,2025-07-16T11:20:52.739125228-03:00,2025-07-16T11:20:52.756978997-03:00,17.85,sucesso,,0.34,31
C110,2,24,90,4,10,2025-07-16T11:20:52.739140324-03:00,2025-07-16T11:20:52.756862295-03:00,17.72,sucesso,,0.35,31
