cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb,num_goroutine
C88,4,1,50,4,500,2025-07-16T11:18:58.618064217-03:00,2025-07-16T11:18:58.63554979-03:00,17.49,sucesso,,0.21,18
C88,4,2,50,4,500,2025-07-16T11:18:58.619343122-03:00,2025-07-16T11:18:58.638835278-03:00,19.49,sucesso,,0.23,18
C88,4,3,50,4,500,2025-07-16T11:18:58.618542422-03:00,2025-07-16T11:18:58.635573029-03:00,17.03,sucesso,,0.21,18
C88,4,4,50,4,500,2025-07-16T11:18:58.621300813-03:00,2025-07-16T11:18:58.640094297-03:00,18.79,sucesso,,0.28,18
C88,4,5,50,4,500,2025-07-16T11:18:58.621478201-03:00,2025-07-16T11:18:58.652701996-03:00,31.22,sucesso,,0.30,18
C88,4,6,50,4,500,2025-07-16T11:18:58.620555606-03:00,2025-07-16T11:18:58.632915229-03:00,12.36,sucesso,,0.26,18
C88,4,7,50,4,500,2025-07-16T11:18:58.619457748-03:00,2025-07-16T11:18:58.643324828-03:00,23.87,sucesso,,0.24,18
C88,4,8,50,4,500,2025-07-16T11:18:58.619199647-03:00,2025-07-16T11:18:58.63930251-03:00,20.10,sucesso,,0.23,18
C88,4,9,50,4,500,2025-07-16T11:18:58.618899331-03:00,2025-07-16T11:18:58.638700901-03:00,19.80,sucesso,,0.22,18
C88,4,10,50,4,500,2025-07-16T11:18:58.618786653-03:00,2025-07-16T11:18:58.638791659-03:00,20.01,sucesso,,0.22,18
C88,4,11,50,4,500,2025-07-16T11:18:58.619064762-03:00,2025-07-16T11:18:58.639325309-03:00,20.26,sucesso,,0.23,18
C88,4,12,50,4,500,2025-07-16T11:18:58.622176095-03:00,2025-07-16T11:18:58.643852131-03:00,21.68,sucesso,,0.32,18
C88,4,13,50,4,500,2025-07-16T11:18:58.62168797-03:00,2025-07-16T11:18:58.642956628-03:00,21.27,sucesso,,0.31,18
C88,4,14,50,4,500,2025-07-16T11:18:58.621188793-03:00,2025-07-16T11:18:58.643280067-03:00,22.09,sucesso,,0.28,18
C88,4,15,50,4,500,2025-07-16T11:18:58.621464586-03:00,2025-07-16T11:18:58.643401446-03:00,21.94,sucesso,,0.29,18
C88,4,16,50,4,500,2025-07-16T11:18:58.621050251-03:00,2025-07-16T11:18:58.642887618-03:00,21.84,sucesso,,0.27,18
C88,4,17,50,4,500,2025-07-16T11:18:58.617324812-03:00,2025-07-16T11:18:58.638678126-03:00,21.35,sucesso,,0.20,18
C88,4,18,50,4,500,2025-07-16T11:18:58.674242423-03:00,2025-07-16T11:18:58.696493204-03:00,22.25,sucesso,,0.21,18
C88,4,19,50,4,500,2025-07-16T11:18:58.674466011-03:00,2025-07-16T11:18:58.707589851-03:00,33.12,sucesso,,0.28,18
