cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb,num_goroutine
C262,9,1,40,10,500,2025-07-16T11:33:00.644445278-03:00,2025-07-16T11:33:00.665826529-03:00,21.38,sucesso,,0.25,15
C262,9,2,40,10,500,2025-07-16T11:33:00.642116563-03:00,2025-07-16T11:33:00.65805332-03:00,15.94,sucesso,,0.22,15
C262,9,3,40,10,500,2025-07-16T11:33:00.644559475-03:00,2025-07-16T11:33:00.658524728-03:00,13.97,sucesso,,0.25,15
C262,9,4,40,10,500,2025-07-16T11:33:00.65270006-03:00,2025-07-16T11:33:00.670123086-03:00,17.42,sucesso,,0.28,15
C262,9,5,40,10,500,2025-07-16T11:33:00.64406156-03:00,2025-07-16T11:33:00.663946572-03:00,19.89,sucesso,,0.24,15
C262,9,6,40,10,500,2025-07-16T11:33:00.643292129-03:00,2025-07-16T11:33:00.658232602-03:00,14.94,sucesso,,0.23,15
C262,9,7,40,10,500,2025-07-16T11:33:00.641950217-03:00,2025-07-16T11:33:00.66568541-03:00,23.74,sucesso,,0.22,15
C262,9,8,40,10,500,2025-07-16T11:33:00.640440069-03:00,2025-07-16T11:33:00.660583584-03:00,20.14,sucesso,,0.21,15
C262,9,9,40,10,500,2025-07-16T11:33:00.643735368-03:00,2025-07-16T11:33:00.661704586-03:00,17.97,sucesso,,0.24,15
C262,9,10,40,10,500,2025-07-16T11:33:00.641720786-03:00,2025-07-16T11:33:00.665892174-03:00,24.17,sucesso,,0.21,15
C262,9,11,40,10,500,2025-07-16T11:33:00.644196983-03:00,2025-07-16T11:33:00.665805803-03:00,21.61,sucesso,,0.25,15
C262,9,12,40,10,500,2025-07-16T11:33:00.644713835-03:00,2025-07-16T11:33:00.660612441-03:00,15.90,sucesso,,0.26,15
C262,9,13,40,10,500,2025-07-16T11:33:00.644805865-03:00,2025-07-16T11:33:00.664767065-03:00,19.96,sucesso,,0.28,15
C262,9,14,40,10,500,2025-07-16T11:33:00.639665201-03:00,2025-07-16T11:33:00.672504484-03:00,32.84,sucesso,,0.21,15
C262,9,15,40,10,500,2025-07-16T11:33:00.730438157-03:00,2025-07-16T11:33:00.760168092-03:00,29.73,sucesso,,0.21,15
C262,9,16,40,10,500,2025-07-16T11:33:00.730584957-03:00,2025-07-16T11:33:00.766459296-03:00,35.87,sucesso,,0.25,15
C262,9,17,40,10,500,2025-07-16T11:33:00.730948295-03:00,2025-07-16T11:33:00.766055509-03:00,35.11,sucesso,,0.27,15
C262,9,18,40,10,500,2025-07-16T11:33:00.73093893-03:00,2025-07-16T11:33:00.766438353-03:00,35.50,sucesso,,0.26,15
C262,9,19,40,10,500,2025-07-16T11:33:00.730563703-03:00,2025-07-16T11:33:00.76291534-03:00,32.35,sucesso,,0.23,15
C262,9,20,40,10,500,2025-07-16T11:33:00.730573899-03:00,2025-07-16T11:33:00.766493738-03:00,35.92,sucesso,,0.24,15
C262,9,21,40,10,500,2025-07-16T11:33:00.730550331-03:00,2025-07-16T11:33:00.766503924-03:00,35.95,sucesso,,0.23,15
C262,9,22,40,10,500,2025-07-16T11:33:00.73003524-03:00,2025-07-16T11:33:00.760210848-03:00,30.18,sucesso,,0.20,15
C262,9,23,40,10,500,2025-07-16T11:33:00.730161878-03:00,2025-07-16T11:33:00.760483635-03:00,30.32,sucesso,,0.20,15
C262,9,24,40,10,500,2025-07-16T11:33:00.730917635-03:00,2025-07-16T11:33:00.766517841-03:00,35.60,sucesso,,0.25,15
C262,9,25,40,10,500,2025-07-16T11:33:00.730929735-03:00,2025-07-16T11:33:00.766241422-03:00,35.31,sucesso,,0.26,15
C262,9,26,40,10,500,2025-07-16T11:33:00.733490008-03:00,2025-07-16T11:33:00.766579799-03:00,33.09,sucesso,,0.29,15
C262,9,27,40,10,500,2025-07-16T11:33:00.733376143-03:00,2025-07-16T11:33:00.766512754-03:00,33.14,sucesso,,0.28,15
C262,9,28,40,10,500,2025-07-16T11:33:00.72936317-03:00,2025-07-16T11:33:00.761868042-03:00,32.50,sucesso,,0.20,15
C262,9,29,40,10,500,2025-07-16T11:33:00.773050506-03:00,2025-07-16T11:33:00.789222743-03:00,16.17,sucesso,,0.25,13
C262,9,30,40,10,500,2025-07-16T11:33:00.771353143-03:00,2025-07-16T11:33:00.789348739-03:00,18.00,sucesso,,0.19,13
C262,9,31,40,10,500,2025-07-16T11:33:00.772551657-03:00,2025-07-16T11:33:00.784456705-03:00,11.91,sucesso,,0.20,13
C262,9,32,40,10,500,2025-07-16T11:33:00.772370191-03:00,2025-07-16T11:33:00.791777057-03:00,19.41,sucesso,,0.20,13
C262,9,33,40,10,500,2025-07-16T11:33:00.772855853-03:00,2025-07-16T11:33:00.784374251-03:00,11.52,sucesso,,0.21,13
C262,9,34,40,10,500,2025-07-16T11:33:00.773129529-03:00,2025-07-16T11:33:00.789345214-03:00,16.22,sucesso,,0.25,13
C262,9,35,40,10,500,2025-07-16T11:33:00.77268278-03:00,2025-07-16T11:33:00.78931878-03:00,16.64,sucesso,,0.21,13
C262,9,36,40,10,500,2025-07-16T11:33:00.773918836-03:00,2025-07-16T11:33:00.791863938-03:00,17.95,sucesso,,0.26,13
C262,9,37,40,10,500,2025-07-16T11:33:00.7739337-03:00,2025-07-16T11:33:00.791783708-03:00,17.85,sucesso,,0.27,13
C262,9,38,40,10,500,2025-07-16T11:33:00.774835631-03:00,2025-07-16T11:33:00.791749789-03:00,16.91,sucesso,,0.27,13
C262,9,39,40,10,500,2025-07-16T11:33:00.775961944-03:00,2025-07-16T11:33:00.791635222-03:00,15.67,sucesso,,0.28,13
C262,9,40,40,10,500,2025-07-16T11:33:00.772959161-03:00,2025-07-16T11:33:00.78925164-03:00,16.29,sucesso,,0.21,13
