cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb,num_goroutine
C291,7,1,90,10,100,2025-07-16T11:35:23.224305503-03:00,2025-07-16T11:35:23.247654081-03:00,23.35,sucesso,,0.23,31
C291,7,2,90,10,100,2025-07-16T11:35:23.224436809-03:00,2025-07-16T11:35:23.243711728-03:00,19.27,sucesso,,0.27,31
C291,7,3,90,10,100,2025-07-16T11:35:23.222777886-03:00,2025-07-16T11:35:23.243491573-03:00,20.71,sucesso,,0.21,31
C291,7,4,90,10,100,2025-07-16T11:35:23.224485102-03:00,2025-07-16T11:35:23.247707481-03:00,23.22,sucesso,,0.29,31
C291,7,5,90,10,100,2025-07-16T11:35:23.22450733-03:00,2025-07-16T11:35:23.243743362-03:00,19.24,sucesso,,0.30,31
C291,7,6,90,10,100,2025-07-16T11:35:23.22468421-03:00,2025-07-16T11:35:23.247653186-03:00,22.97,sucesso,,0.32,31
C291,7,7,90,10,100,2025-07-16T11:35:23.224663264-03:00,2025-07-16T11:35:23.24767636-03:00,23.01,sucesso,,0.31,31
C291,7,8,90,10,100,2025-07-16T11:35:23.225523399-03:00,2025-07-16T11:35:23.247679271-03:00,22.16,sucesso,,0.34,31
C291,7,9,90,10,100,2025-07-16T11:35:23.224952007-03:00,2025-07-16T11:35:23.247593672-03:00,22.64,sucesso,,0.33,31
C291,7,10,90,10,100,2025-07-16T11:35:23.224953533-03:00,2025-07-16T11:35:23.247648151-03:00,22.69,sucesso,,0.33,31
C291,7,11,90,10,100,2025-07-16T11:35:23.225580808-03:00,2025-07-16T11:35:23.247724514-03:00,22.14,sucesso,,0.37,31
C291,7,12,90,10,100,2025-07-16T11:35:23.225561485-03:00,2025-07-16T11:35:23.247770043-03:00,22.21,sucesso,,0.35,31
C291,7,13,90,10,100,2025-07-16T11:35:23.223929909-03:00,2025-07-16T11:35:23.243549794-03:00,19.62,sucesso,,0.22,31
C291,7,14,90,10,100,2025-07-16T11:35:23.22444927-03:00,2025-07-16T11:35:23.247587655-03:00,23.14,sucesso,,0.28,31
C291,7,15,90,10,100,2025-07-16T11:35:23.224474754-03:00,2025-07-16T11:35:23.243682996-03:00,19.21,sucesso,,0.29,31
C291,7,16,90,10,100,2025-07-16T11:35:23.224516867-03:00,2025-07-16T11:35:23.247576095-03:00,23.06,sucesso,,0.30,31
C291,7,17,90,10,100,2025-07-16T11:35:23.224494879-03:00,2025-07-16T11:35:23.247743257-03:00,23.25,sucesso,,0.30,31
C291,7,18,90,10,100,2025-07-16T11:35:23.224463524-03:00,2025-07-16T11:35:23.243627109-03:00,19.16,sucesso,,0.28,31
C291,7,19,90,10,100,2025-07-16T11:35:23.224673712-03:00,2025-07-16T11:35:23.247741039-03:00,23.07,sucesso,,0.31,31
C291,7,20,90,10,100,2025-07-16T11:35:23.224863552-03:00,2025-07-16T11:35:23.247574262-03:00,22.71,sucesso,,0.32,31
C291,7,21,90,10,100,2025-07-16T11:35:23.225438069-03:00,2025-07-16T11:35:23.247751922-03:00,22.31,sucesso,,0.34,31
C291,7,22,90,10,100,2025-07-16T11:35:23.22555954-03:00,2025-07-16T11:35:23.247767475-03:00,22.21,sucesso,,0.35,31
C291,7,23,90,10,100,2025-07-16T11:35:23.225579745-03:00,2025-07-16T11:35:23.250733238-03:00,25.15,sucesso,,0.37,31
C291,7,24,90,10,100,2025-07-16T11:35:23.225937566-03:00,2025-07-16T11:35:23.247711702-03:00,21.77,sucesso,,0.38,31
C291,7,25,90,10,100,2025-07-16T11:35:23.225572283-03:00,2025-07-16T11:35:23.251184497-03:00,25.61,sucesso,,0.36,31
C291,7,26,90,10,100,2025-07-16T11:35:23.225578173-03:00,2025-07-16T11:35:23.247648832-03:00,22.07,sucesso,,0.38,31
C291,7,27,90,10,100,2025-07-16T11:35:23.225733921-03:00,2025-07-16T11:35:23.247751848-03:00,22.02,sucesso,,0.38,31
C291,7,28,90,10,100,2025-07-16T11:35:23.2255479-03:00,2025-07-16T11:35:23.24407117-03:00,18.52,sucesso,,0.34,31
C291,7,29,90,10,100,2025-07-16T11:35:23.225569257-03:00,2025-07-16T11:35:23.248915591-03:00,23.35,sucesso,,0.36,31
C291,7,30,90,10,100,2025-07-16T11:35:23.22370677-03:00,2025-07-16T11:35:23.243997124-03:00,20.29,sucesso,,0.22,31
C291,7,31,90,10,100,2025-07-16T11:35:23.273165015-03:00,2025-07-16T11:35:23.294093034-03:00,20.93,sucesso,,0.23,31
C291,7,32,90,10,100,2025-07-16T11:35:23.272739496-03:00,2025-07-16T11:35:23.285300893-03:00,12.56,sucesso,,0.22,31
C291,7,33,90,10,100,2025-07-16T11:35:23.27369296-03:00,2025-07-16T11:35:23.304069141-03:00,30.38,sucesso,,0.32,31
C291,7,34,90,10,100,2025-07-16T11:35:23.273674809-03:00,2025-07-16T11:35:23.302997513-03:00,29.32,sucesso,,0.30,31
C291,7,35,90,10,100,2025-07-16T11:35:23.273655565-03:00,2025-07-16T11:35:23.294852679-03:00,21.20,sucesso,,0.29,31
