cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb,num_goroutine
C144,3,1,40,6,10000,2025-07-16T11:23:28.163873477-03:00,2025-07-16T11:23:28.7219642-03:00,558.09,sucesso,,0.35,15
C144,3,2,40,6,10000,2025-07-16T11:23:28.163815866-03:00,2025-07-16T11:23:28.422635733-03:00,258.82,sucesso,,0.23,15
C144,3,3,40,6,10000,2025-07-16T11:23:28.163859472-03:00,2025-07-16T11:23:28.377616006-03:00,213.76,sucesso,,0.27,15
C144,3,4,40,6,10000,2025-07-16T11:23:28.163660573-03:00,2025-07-16T11:23:28.657168169-03:00,493.51,sucesso,,0.20,15
C144,3,5,40,6,10000,2025-07-16T11:23:28.163802864-03:00,2025-07-16T11:23:28.517559967-03:00,353.76,sucesso,,0.22,15
C144,3,6,40,6,10000,2025-07-16T11:23:28.164395682-03:00,2025-07-16T11:23:29.055380739-03:00,890.99,sucesso,,0.44,15
C144,3,7,40,6,10000,2025-07-16T11:23:28.164498587-03:00,2025-07-16T11:23:28.973857371-03:00,809.36,sucesso,,0.44,15
C144,3,8,40,6,10000,2025-07-16T11:23:28.1639345-03:00,2025-07-16T11:23:28.940562855-03:00,776.63,sucesso,,0.43,15
C144,3,9,40,6,10000,2025-07-16T11:23:28.163848994-03:00,2025-07-16T11:23:29.060321723-03:00,896.47,sucesso,,0.27,15
C144,3,10,40,6,10000,2025-07-16T11:23:28.163836682-03:00,2025-07-16T11:23:28.660988399-03:00,497.15,sucesso,,0.26,15
C144,3,11,40,6,10000,2025-07-16T11:23:28.163901226-03:00,2025-07-16T11:23:28.876725182-03:00,712.82,sucesso,,0.40,15
C144,3,12,40,6,10000,2025-07-16T11:23:28.170880749-03:00,2025-07-16T11:23:29.066568618-03:00,895.69,sucesso,,0.44,15
C144,3,13,40,6,10000,2025-07-16T11:23:28.16391536-03:00,2025-07-16T11:23:28.769714075-03:00,605.80,sucesso,,0.43,15
C144,3,14,40,6,10000,2025-07-16T11:23:28.162952034-03:00,2025-07-16T11:23:28.764799249-03:00,601.85,sucesso,,0.20,15
C144,3,15,40,6,10000,2025-07-16T11:23:28.305809844-03:00,2025-07-16T11:23:29.055792996-03:00,749.98,sucesso,,0.26,15
C144,3,16,40,6,10000,2025-07-16T11:23:28.271187782-03:00,2025-07-16T11:23:28.80510637-03:00,533.92,sucesso,,0.23,15
C144,3,17,40,6,10000,2025-07-16T11:23:28.30594041-03:00,2025-07-16T11:23:29.056170329-03:00,750.23,sucesso,,0.54,15
C144,3,18,40,6,10000,2025-07-16T11:23:28.305929792-03:00,2025-07-16T11:23:28.955649183-03:00,649.72,sucesso,,0.45,15
C144,3,19,40,6,10000,2025-07-16T11:23:28.305917541-03:00,2025-07-16T11:23:29.055930205-03:00,750.01,sucesso,,0.45,15
C144,3,20,40,6,10000,2025-07-16T11:23:28.30588237-03:00,2025-07-16T11:23:28.964024236-03:00,658.14,sucesso,,0.45,15
C144,3,21,40,6,10000,2025-07-16T11:23:28.30587109-03:00,2025-07-16T11:23:29.05887518-03:00,753.00,sucesso,,0.43,15
C144,3,22,40,6,10000,2025-07-16T11:23:28.30585977-03:00,2025-07-16T11:23:28.974004246-03:00,668.14,sucesso,,0.40,15
C144,3,23,40,6,10000,2025-07-16T11:23:28.305848741-03:00,2025-07-16T11:23:29.095383296-03:00,789.53,sucesso,,0.32,15
C144,3,24,40,6,10000,2025-07-16T11:23:28.305837872-03:00,2025-07-16T11:23:28.962586873-03:00,656.75,sucesso,,0.31,15
C144,3,25,40,6,10000,2025-07-16T11:23:28.275767005-03:00,2025-07-16T11:23:29.08432199-03:00,808.55,sucesso,,0.24,15
C144,3,26,40,6,10000,2025-07-16T11:23:28.254383445-03:00,2025-07-16T11:23:29.083513771-03:00,829.13,sucesso,,0.22,15
C144,3,27,40,6,10000,2025-07-16T11:23:28.305950478-03:00,2025-07-16T11:23:29.08438577-03:00,778.44,sucesso,,0.62,15
C144,3,28,40,6,10000,2025-07-16T11:23:28.3058251-03:00,2025-07-16T11:23:29.05827536-03:00,752.45,sucesso,,0.27,15
C144,3,29,40,6,10000,2025-07-16T11:23:28.430843799-03:00,2025-07-16T11:23:28.922289835-03:00,491.45,sucesso,,0.46,13
C144,3,30,40,6,10000,2025-07-16T11:23:28.401907631-03:00,2025-07-16T11:23:29.058058609-03:00,656.15,sucesso,,0.19,13
C144,3,31,40,6,10000,2025-07-16T11:23:28.412106329-03:00,2025-07-16T11:23:29.056293845-03:00,644.19,sucesso,,0.31,13
C144,3,32,40,6,10000,2025-07-16T11:23:28.435885484-03:00,2025-07-16T11:23:29.074434287-03:00,638.55,sucesso,,0.49,13
C144,3,33,40,6,10000,2025-07-16T11:23:28.435868334-03:00,2025-07-16T11:23:28.973275351-03:00,537.41,sucesso,,0.48,13
C144,3,34,40,6,10000,2025-07-16T11:23:28.435898727-03:00,2025-07-16T11:23:28.96316877-03:00,527.27,sucesso,,0.50,13
C144,3,35,40,6,10000,2025-07-16T11:23:28.412092065-03:00,2025-07-16T11:23:29.087288798-03:00,675.20,sucesso,,0.30,13
C144,3,36,40,6,10000,2025-07-16T11:23:28.412078421-03:00,2025-07-16T11:23:28.758409896-03:00,346.33,sucesso,,0.26,13
C144,3,37,40,6,10000,2025-07-16T11:23:28.411718126-03:00,2025-07-16T11:23:29.119233674-03:00,707.52,sucesso,,0.22,13
C144,3,38,40,6,10000,2025-07-16T11:23:28.410846228-03:00,2025-07-16T11:23:28.957694838-03:00,546.85,sucesso,,0.21,13
C144,3,39,40,6,10000,2025-07-16T11:23:28.412126104-03:00,2025-07-16T11:23:29.057703294-03:00,645.58,sucesso,,0.36,13
C144,3,40,40,6,10000,2025-07-16T11:23:28.390903011-03:00,2025-07-16T11:23:29.091217797-03:00,700.31,sucesso,,0.19,13
