cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb,num_goroutine
C115,10,1,100,4,1,2025-07-16T11:21:27.605993633-03:00,2025-07-16T11:21:27.625562453-03:00,19.57,sucesso,,0.22,35
C115,10,2,100,4,1,2025-07-16T11:21:27.606441842-03:00,2025-07-16T11:21:27.625373201-03:00,18.93,sucesso,,0.23,35
C115,10,3,100,4,1,2025-07-16T11:21:27.607196119-03:00,2025-07-16T11:21:27.625379638-03:00,18.18,sucesso,,0.25,35
C115,10,4,100,4,1,2025-07-16T11:21:27.606883434-03:00,2025-07-16T11:21:27.625273061-03:00,18.39,sucesso,,0.24,35
C115,10,5,100,4,1,2025-07-16T11:21:27.605405952-03:00,2025-07-16T11:21:27.625351171-03:00,19.95,sucesso,,0.22,35
C115,10,6,100,4,1,2025-07-16T11:21:27.606595047-03:00,2025-07-16T11:21:27.620506371-03:00,13.91,sucesso,,0.24,35
C115,10,7,100,4,1,2025-07-16T11:21:27.607055134-03:00,2025-07-16T11:21:27.625812699-03:00,18.76,sucesso,,0.25,35
C115,10,8,100,4,1,2025-07-16T11:21:27.607351022-03:00,2025-07-16T11:21:27.625639-03:00,18.29,sucesso,,0.26,35
C115,10,9,100,4,1,2025-07-16T11:21:27.607706129-03:00,2025-07-16T11:21:27.625703568-03:00,18.00,sucesso,,0.27,35
C115,10,10,100,4,1,2025-07-16T11:21:27.607552182-03:00,2025-07-16T11:21:27.634888186-03:00,27.34,sucesso,,0.26,35
C115,10,11,100,4,1,2025-07-16T11:21:27.608184206-03:00,2025-07-16T11:21:27.635703903-03:00,27.52,sucesso,,0.28,35
C115,10,12,100,4,1,2025-07-16T11:21:27.608018289-03:00,2025-07-16T11:21:27.635278945-03:00,27.26,sucesso,,0.28,35
C115,10,13,100,4,1,2025-07-16T11:21:27.607847314-03:00,2025-07-16T11:21:27.625728549-03:00,17.88,sucesso,,0.27,35
C115,10,14,100,4,1,2025-07-16T11:21:27.608611377-03:00,2025-07-16T11:21:27.625492496-03:00,16.88,sucesso,,0.29,35
C115,10,15,100,4,1,2025-07-16T11:21:27.608294015-03:00,2025-07-16T11:21:27.625980609-03:00,17.69,sucesso,,0.28,35
C115,10,16,100,4,1,2025-07-16T11:21:27.60839747-03:00,2025-07-16T11:21:27.635344238-03:00,26.95,sucesso,,0.29,35
C115,10,17,100,4,1,2025-07-16T11:21:27.608834285-03:00,2025-07-16T11:21:27.635338114-03:00,26.50,sucesso,,0.30,35
C115,10,18,100,4,1,2025-07-16T11:21:27.609132674-03:00,2025-07-16T11:21:27.63535876-03:00,26.23,sucesso,,0.31,35
C115,10,19,100,4,1,2025-07-16T11:21:27.608987729-03:00,2025-07-16T11:21:27.625679958-03:00,16.69,sucesso,,0.30,35
C115,10,20,100,4,1,2025-07-16T11:21:27.610309955-03:00,2025-07-16T11:21:27.634861163-03:00,24.55,sucesso,,0.33,35
C115,10,21,100,4,1,2025-07-16T11:21:27.610522078-03:00,2025-07-16T11:21:27.634810469-03:00,24.29,sucesso,,0.34,35
C115,10,22,100,4,1,2025-07-16T11:21:27.61053552-03:00,2025-07-16T11:21:27.635308849-03:00,24.77,sucesso,,0.34,35
C115,10,23,100,4,1,2025-07-16T11:21:27.613507389-03:00,2025-07-16T11:21:27.635308468-03:00,21.80,sucesso,,0.37,35
C115,10,24,100,4,1,2025-07-16T11:21:27.613238573-03:00,2025-07-16T11:21:27.634792073-03:00,21.55,sucesso,,0.36,35
C115,10,25,100,4,1,2025-07-16T11:21:27.61350939-03:00,2025-07-16T11:21:27.634867699-03:00,21.36,sucesso,,0.37,35
C115,10,26,100,4,1,2025-07-16T11:21:27.610024385-03:00,2025-07-16T11:21:27.635344999-03:00,25.32,sucesso,,0.32,35
C115,10,27,100,4,1,2025-07-16T11:21:27.609822289-03:00,2025-07-16T11:21:27.634885964-03:00,25.06,sucesso,,0.31,35
C115,10,28,100,4,1,2025-07-16T11:21:27.610278138-03:00,2025-07-16T11:21:27.634869567-03:00,24.59,sucesso,,0.32,35
C115,10,29,100,4,1,2025-07-16T11:21:27.61051725-03:00,2025-07-16T11:21:27.634864497-03:00,24.35,sucesso,,0.33,35
C115,10,30,100,4,1,2025-07-16T11:21:27.610616483-03:00,2025-07-16T11:21:27.634794813-03:00,24.18,sucesso,,0.35,35
C115,10,31,100,4,1,2025-07-16T11:21:27.613362316-03:00,2025-07-16T11:21:27.63490113-03:00,21.54,sucesso,,0.36,35
C115,10,32,100,4,1,2025-07-16T11:21:27.610627551-03:00,2025-07-16T11:21:27.634807091-03:00,24.18,sucesso,,0.35,35
C115,10,33,100,4,1,2025-07-16T11:21:27.613070301-03:00,2025-07-16T11:21:27.635331044-03:00,22.26,sucesso,,0.35,35
C115,10,34,100,4,1,2025-07-16T11:21:27.606279872-03:00,2025-07-16T11:21:27.625407044-03:00,19.13,sucesso,,0.23,35
C115,10,35,100,4,1,2025-07-16T11:21:27.658560934-03:00,2025-07-16T11:21:27.686016064-03:00,27.46,sucesso,,0.27,35
C115,10,36,100,4,1,2025-07-16T11:21:27.657515483-03:00,2025-07-16T11:21:27.696207578-03:00,38.69,sucesso,,0.22,35
C115,10,37,100,4,1,2025-07-16T11:21:27.659414842-03:00,2025-07-16T11:21:27.697172549-03:00,37.76,sucesso,,0.32,35
C115,10,38,100,4,1,2025-07-16T11:21:27.6571048-03:00,2025-07-16T11:21:27.694959073-03:00,37.85,sucesso,,0.21,35
C115,10,39,100,4,1,2025-07-16T11:21:27.65938977-03:00,2025-07-16T11:21:27.696237908-03:00,36.85,sucesso,,0.31,35
C115,10,40,100,4,1,2025-07-16T11:21:27.658277359-03:00,2025-07-16T11:21:27.694966505-03:00,36.69,sucesso,,0.25,35
C115,10,41,100,4,1,2025-07-16T11:21:27.657699379-03:00,2025-07-16T11:21:27.694915089-03:00,37.22,sucesso,,0.23,35
C115,10,42,100,4,1,2025-07-16T11:21:27.658024631-03:00,2025-07-16T11:21:27.694973902-03:00,36.95,sucesso,,0.24,35
C115,10,43,100,4,1,2025-07-16T11:21:27.657258074-03:00,2025-07-16T11:21:27.691385748-03:00,34.13,sucesso,,0.22,35
C115,10,44,100,4,1,2025-07-16T11:21:27.65645103-03:00,2025-07-16T11:21:27.691457572-03:00,35.01,sucesso,,0.21,35
C115,10,45,100,4,1,2025-07-16T11:21:27.658120999-03:00,2025-07-16T11:21:27.696034986-03:00,37.91,sucesso,,0.24,35
C115,10,46,100,4,1,2025-07-16T11:21:27.657867259-03:00,2025-07-16T11:21:27.697141407-03:00,39.27,sucesso,,0.23,35
C115,10,47,100,4,1,2025-07-16T11:21:27.659403313-03:00,2025-07-16T11:21:27.69142014-03:00,32.02,sucesso,,0.32,35
C115,10,48,100,4,1,2025-07-16T11:21:27.659194266-03:00,2025-07-16T11:21:27.698078307-03:00,38.88,sucesso,,0.28,35
C115,10,49,100,4,1,2025-07-16T11:21:27.658392593-03:00,2025-07-16T11:21:27.696624886-03:00,38.23,sucesso,,0.26,35
C115,10,50,100,4,1,2025-07-16T11:21:27.659427042-03:00,2025-07-16T11:21:27.696228237-03:00,36.80,sucesso,,0.33,35
C115,10,51,100,4,1,2025-07-16T11:21:27.658857728-03:00,2025-07-16T11:21:27.696188696-03:00,37.33,sucesso,,0.27,35
C115,10,52,100,4,1,2025-07-16T11:21:27.659438715-03:00,2025-07-16T11:21:27.691290434-03:00,31.85,sucesso,,0.33,35
C115,10,53,100,4,1,2025-07-16T11:21:27.658403361-03:00,2025-07-16T11:21:27.698078314-03:00,39.67,sucesso,,0.27,35
C115,10,54,100,4,1,2025-07-16T11:21:27.659056946-03:00,2025-07-16T11:21:27.694997647-03:00,35.94,sucesso,,0.28,35
C115,10,55,100,4,1,2025-07-16T11:21:27.659358912-03:00,2025-07-16T11:21:27.694812178-03:00,35.45,sucesso,,0.31,35
C115,10,56,100,4,1,2025-07-16T11:21:27.659367467-03:00,2025-07-16T11:21:27.691373272-03:00,32.01,sucesso,,0.31,35
C115,10,57,100,4,1,2025-07-16T11:21:27.660891305-03:00,2025-07-16T11:21:27.696642916-03:00,35.75,sucesso,,0.36,35
C115,10,58,100,4,1,2025-07-16T11:21:27.659449333-03:00,2025-07-16T11:21:27.686113346-03:00,26.66,sucesso,,0.34,35
C115,10,59,100,4,1,2025-07-16T11:21:27.6593156-03:00,2025-07-16T11:21:27.6980797-03:00,38.76,sucesso,,0.29,35
C115,10,60,100,4,1,2025-07-16T11:21:27.65986448-03:00,2025-07-16T11:21:27.698008211-03:00,38.14,sucesso,,0.34,35
C115,10,61,100,4,1,2025-07-16T11:21:27.660509569-03:00,2025-07-16T11:21:27.696665234-03:00,36.16,sucesso,,0.34,35
C115,10,62,100,4,1,2025-07-16T11:21:27.66070235-03:00,2025-07-16T11:21:27.698093559-03:00,37.39,sucesso,,0.35,35
C115,10,63,100,4,1,2025-07-16T11:21:27.66090069-03:00,2025-07-16T11:21:27.698021853-03:00,37.12,sucesso,,0.36,35
C115,10,64,100,4,1,2025-07-16T11:21:27.66061256-03:00,2025-07-16T11:21:27.698700895-03:00,38.09,sucesso,,0.35,35
C115,10,65,100,4,1,2025-07-16T11:21:27.660912139-03:00,2025-07-16T11:21:27.698097658-03:00,37.19,sucesso,,0.37,35
C115,10,66,100,4,1,2025-07-16T11:21:27.660783505-03:00,2025-07-16T11:21:27.698352315-03:00,37.57,sucesso,,0.36,35
C115,10,67,100,4,1,2025-07-16T11:21:27.66106848-03:00,2025-07-16T11:21:27.699033028-03:00,37.96,sucesso,,0.37,35
C115,10,68,100,4,1,2025-07-16T11:21:27.65786778-03:00,2025-07-16T11:21:27.696293251-03:00,38.43,sucesso,,0.25,35
C115,10,69,100,4,1,2025-07-16T11:21:27.765864728-03:00,2025-07-16T11:21:27.77578321-03:00,9.92,sucesso,,0.32,33
C115,10,70,100,4,1,2025-07-16T11:21:27.765738943-03:00,2025-07-16T11:21:27.777891859-03:00,12.15,sucesso,,0.31,33
C115,10,71,100,4,1,2025-07-16T11:21:27.76556914-03:00,2025-07-16T11:21:27.775798492-03:00,10.23,sucesso,,0.30,33
C115,10,72,100,4,1,2025-07-16T11:21:27.764103303-03:00,2025-07-16T11:21:27.777897752-03:00,13.79,sucesso,,0.25,33
C115,10,73,100,4,1,2025-07-16T11:21:27.763621186-03:00,2025-07-16T11:21:27.777441823-03:00,13.82,sucesso,,0.24,33
C115,10,74,100,4,1,2025-07-16T11:21:27.76216704-03:00,2025-07-16T11:21:27.775793158-03:00,13.63,sucesso,,0.23,33
C115,10,75,100,4,1,2025-07-16T11:21:27.76574958-03:00,2025-07-16T11:21:27.778222894-03:00,12.47,sucesso,,0.33,33
C115,10,76,100,4,1,2025-07-16T11:21:27.765085033-03:00,2025-07-16T11:21:27.776147098-03:00,11.06,sucesso,,0.28,33
C115,10,77,100,4,1,2025-07-16T11:21:27.764445708-03:00,2025-07-16T11:21:27.776271325-03:00,11.83,sucesso,,0.26,33
C115,10,78,100,4,1,2025-07-16T11:21:27.7639134-03:00,2025-07-16T11:21:27.777945061-03:00,14.03,sucesso,,0.25,33
C115,10,79,100,4,1,2025-07-16T11:21:27.764174032-03:00,2025-07-16T11:21:27.779915034-03:00,15.74,sucesso,,0.25,33
C115,10,80,100,4,1,2025-07-16T11:21:27.766227773-03:00,2025-07-16T11:21:27.779644308-03:00,13.42,sucesso,,0.36,33
C115,10,81,100,4,1,2025-07-16T11:21:27.761335215-03:00,2025-07-16T11:21:27.776636872-03:00,15.30,sucesso,,0.22,33
C115,10,82,100,4,1,2025-07-16T11:21:27.764650526-03:00,2025-07-16T11:21:27.777385629-03:00,12.74,sucesso,,0.27,33
C115,10,83,100,4,1,2025-07-16T11:21:27.764760793-03:00,2025-07-16T11:21:27.778127151-03:00,13.37,sucesso,,0.27,33
C115,10,84,100,4,1,2025-07-16T11:21:27.762310823-03:00,2025-07-16T11:21:27.778255204-03:00,15.94,sucesso,,0.23,33
C115,10,85,100,4,1,2025-07-16T11:21:27.764897451-03:00,2025-07-16T11:21:27.778988404-03:00,14.09,sucesso,,0.28,33
C115,10,86,100,4,1,2025-07-16T11:21:27.765614697-03:00,2025-07-16T11:21:27.779596487-03:00,13.98,sucesso,,0.31,33
C115,10,87,100,4,1,2025-07-16T11:21:27.765898815-03:00,2025-07-16T11:21:27.780105481-03:00,14.21,sucesso,,0.34,33
C115,10,88,100,4,1,2025-07-16T11:21:27.765765016-03:00,2025-07-16T11:21:27.779862746-03:00,14.10,sucesso,,0.32,33
C115,10,89,100,4,1,2025-07-16T11:21:27.765754168-03:00,2025-07-16T11:21:27.779662263-03:00,13.91,sucesso,,0.32,33
C115,10,90,100,4,1,2025-07-16T11:21:27.765384642-03:00,2025-07-16T11:21:27.774762036-03:00,9.38,sucesso,,0.29,33
C115,10,91,100,4,1,2025-07-16T11:21:27.76589592-03:00,2025-07-16T11:21:27.775004094-03:00,9.11,sucesso,,0.34,33
C115,10,92,100,4,1,2025-07-16T11:21:27.765233225-03:00,2025-07-16T11:21:27.775813307-03:00,10.58,sucesso,,0.29,33
C115,10,93,100,4,1,2025-07-16T11:21:27.764294613-03:00,2025-07-16T11:21:27.779559336-03:00,15.26,sucesso,,0.26,33
C115,10,94,100,4,1,2025-07-16T11:21:27.763818953-03:00,2025-07-16T11:21:27.779643441-03:00,15.82,sucesso,,0.24,33
C115,10,95,100,4,1,2025-07-16T11:21:27.76587788-03:00,2025-07-16T11:21:27.778222299-03:00,12.34,sucesso,,0.33,33
C115,10,96,100,4,1,2025-07-16T11:21:27.765507297-03:00,2025-07-16T11:21:27.776288853-03:00,10.78,sucesso,,0.30,33
C115,10,97,100,4,1,2025-07-16T11:21:27.766014348-03:00,2025-07-16T11:21:27.78011676-03:00,14.10,sucesso,,0.35,33
C115,10,98,100,4,1,2025-07-16T11:21:27.766004451-03:00,2025-07-16T11:21:27.779517476-03:00,13.51,sucesso,,0.35,33
C115,10,99,100,4,1,2025-07-16T11:21:27.765889039-03:00,2025-07-16T11:21:27.780002699-03:00,14.11,sucesso,,0.34,33
C115,10,100,100,4,1,2025-07-16T11:21:27.764011111-03:00,2025-07-16T11:21:27.776306043-03:00,12.29,sucesso,,0.25,33
